lemma	occurences
be	51
say	20
make	17
take	10
time	10
have	8
other	8
find	7
get	7
know	7
feel	7
do	6
republican	6
come	6
work	6
need	6
develop	6
new	5
way	5
look	5
level	4
benefit	4
theory	4
think	4
vote	4
more	4
child	4
sound	4
see	4
seem	4
education	4
same	4
show	3
report	3
go	3
corner	3
smile	3
pass	3
state	3
run	3
english	3
study	3
thing	3
table	3
next	3
start	3
call	3
recent	3
life	3
hold	3
hit	3
floor	3
damage	3
answer	3
begin	3
stop	3
office	2
month	2
bright	2
shake	2
watch	2
test	2
foot	2
trouble	2
become	2
old	2
sign	2
second	2
wonder	2
appear	2
burn	2
wait	2
country	2
reason	2
keep	2
first	2
church	2
open	2
political	2
live	2
believe	2
idea	2
glass	2
part	2
cost	2
problem	2
result	2
involve	2
development	2
drink	2
president	2
third	2
face	2
money	1
human	1
pull	1
ground	1
peal	1
difference	1
explain	1
encourage	1
day	1
better	1
simple	1
shout	1
willing	1
crack	1
local	1
hope	1
suggest	1
return	1
nod	1
wave	1
break	1
game	1
fall	1
world	1
enter	1
realize	1
name	1
school	1
like	1
try	1
continue	1
follow	1
common	1
night	1
require	1
mean	1
mathematical	1
prevent	1
right	1
deal	1
house	1
back	1
bounce	1
street	1
election	1
home	1
leave	1
lead	1
bottom	1
miss	1
publish	1
favor	1
future	1
come_to	1
discovery	1
body	1
degree	1
job	1
add	1
let	1
ask	1
change	1
advance	1
search	1
swing	1
experience	1
american	1
important	1
place	1
defeat	1
emerge	1
major	1
love	1
family	1
put	1
speak	1
standing	1
ancient	1
divorce	1
support	1
genetic	1
program	1
low	1
interest	1
basic	1
strike	1
master	1
tell	1
today	1
door	1
form	1
offer	1
fire	1
mind	1
expenditure	1
line	1
high	1
word	1
bother	1
permit	1
air	1
remain	1
obvious	1
can	1
male	1
compare	1
play	1
give	1
certain	1
describe	1
share	1
dubious	1
fellow	1
fly	1
turn	1
prevail	1
occur	1
chance	1
large	1
write	1
field	1
role	1
observe	1
performance	1
bit	1
several	1
belfry	1
spot	1
hand	1
moment	1
produce	1
mouth	1
class	1
man	1
early	1
spend	1
light	1
flop	1
drive	1
thought	1
concrete	1
train	1
allow	1
notion	1
